A,51.49,*,A131116C00048000,,call,11/16/2013,10/28/2013 04:00:00 PM,48,3.3,3.85,3.95,0,5996,0.3633,0.8133,6.2925,-3.0423,3.1527,
A,51.49,*,A131116P00048000,,put,11/16/2013,10/28/2013 04:00:00 PM,48,0.4,0.37,0.4,413,2656,0.3459,-0.176,6.3686,-2.7609,3.0379,
A,51.49,*,A131116C00049000,,call,11/16/2013,10/28/2013 04:00:00 PM,49,3.29,3.05,3.1,0,1096,0.3372,0.7532,7.9693,-3.3158,3.7062,
A,51.49,*,A131116P00049000,,put,11/16/2013,10/28/2013 04:00:00 PM,49,0.61,0.56,0.59,12,349,0.3335,-0.2447,8.0207,-3.2309,3.6889,
A,51.49,*,A131116C00050000,,call,11/16/2013,10/28/2013 04:00:00 PM,50,2.2,2.33,2.38,18,4342,0.3284,0.6669,9.4261,-3.7139,4.2689,
A,51.49,*,A131116P00050000,,put,11/16/2013,10/28/2013 04:00:00 PM,50,0.95,0.83,0.87,32,2376,0.3252,-0.3319,9.5043,-3.6382,4.2625,
A,51.49,*,A131116C00052500,,call,11/16/2013,10/28/2013 04:00:00 PM,52.5,0.9,0.97,1.01,37,7965,0.308,0.4053,10.7165,-3.7067,4.5525,
A,51.49,*,A131116P00052500,,put,11/16/2013,10/28/2013 04:00:00 PM,52.5,2.11,1.96,2.01,45,1143,0.3074,-0.5949,10.7381,-3.6621,4.5517,
A,51.49,*,A131116C00055000,,call,11/16/2013,10/28/2013 04:00:00 PM,55,0.32,0.29,0.32,20,6000,0.298,0.1751,7.3673,-2.3825,3.028,
A,51.49,*,A131116P00055000,,put,11/16/2013,10/28/2013 04:00:00 PM,55,4.25,3.75,3.85,0,101,0.3069,-0.8173,7.3477,-2.4826,3.1102,
A,51.49,*,A131116C00057500,,call,11/16/2013,10/28/2013 04:00:00 PM,57.5,0.09,0.07,0.09,1403,2829,0.3042,0.06,3.3356,-1.1233,1.3994,
A,51.49,*,A131116P00057500,,put,11/16/2013,10/28/2013 04:00:00 PM,57.5,7.05,5.65,6.5,0,16,0.4828,-0.828,4.4965,-3.7737,2.9942,
A,51.49,*,A131116C00060000,,call,11/16/2013,10/28/2013 04:00:00 PM,60,0.02,0,0.04,0,115,0.3407,0.0269,1.554,-0.6559,0.7301,
A,51.49,*,A131116P00060000,,put,11/16/2013,10/28/2013 04:00:00 PM,60,0,8.15,8.95,0,0,0.5787,-0.8626,3.2341,-3.8969,2.581,
A,51.49,*,A131116C00062500,,call,11/16/2013,10/28/2013 04:00:00 PM,62.5,0,0,0.03,0,0,0.3975,0.0183,0.9607,-0.5519,0.5266,
A,51.49,*,A131116P00062500,,put,11/16/2013,10/28/2013 04:00:00 PM,62.5,0,10.45,11.45,0,0,0.6811,-0.8788,2.5188,-4.205,2.3659,
A,51.49,*,A131116C00065000,,call,11/16/2013,10/28/2013 04:00:00 PM,65,0.11,0,0.03,0,20,0.4646,0.016,0.7334,-0.5756,0.4699,
A,51.49,*,A131116P00065000,,put,11/16/2013,10/28/2013 04:00:00 PM,65,0,12.25,15,0,0,1.1354,-0.7793,2.2248,-10.3776,3.4834,
